insert into lottery.match values('1600101','英超','阿森纳','纽卡','1:0','3');
insert into lottery.match values('1601407','意甲','拉齐奥','切沃','4:1','3');
insert into lottery.europe_data values('williamHill','firstData','1.60','3.40','5.00','1601407');
insert into lottery.europe_data values('williamHill','lastData','1.67','3.60','5.50','1601407');
insert into lottery.europe_data values('Interwetten','firstData','1.70','3.60','4.70','1601407');
insert into lottery.europe_data values('Interwetten','lastData','1.70','3.60','4.70','1601407');
insert into lottery.match values('1601408','意甲','桑普多','那不勒','2:4','0');
insert into lottery.europe_data values('williamHill','firstData','6.00','4.20','1.40','1601408');
insert into lottery.europe_data values('williamHill','lastData','7.00','4.00','1.50','1601408');
insert into lottery.europe_data values('Interwetten','firstData','7.00','4.00','1.45','1601408');
insert into lottery.europe_data values('Interwetten','lastData','5.50','4.00','1.55','1601408');
insert into lottery.match values('1601409','意甲','萨索洛','博洛尼','0:2','0');
insert into lottery.europe_data values('williamHill','firstData','1.80','3.20','4.00','1601409');
insert into lottery.europe_data values('williamHill','lastData','2.05','3.20','4.50','1601409');
insert into lottery.europe_data values('Interwetten','firstData','1.85','3.40','4.10','1601409');
insert into lottery.europe_data values('Interwetten','lastData','1.90','3.40','3.90','1601409');
insert into lottery.match values('1601410','意甲','维罗纳','热那亚','1:1','1');
insert into lottery.europe_data values('williamHill','firstData','2.88','3.00','2.30','1601410');
insert into lottery.europe_data values('williamHill','lastData','3.30','3.40','2.15','1601410');
insert into lottery.europe_data values('Interwetten','firstData','2.65','3.30','2.50','1601410');
insert into lottery.europe_data values('Interwetten','lastData','2.65','3.30','2.50','1601410');
insert into lottery.match values('1601411','意甲','巴勒莫','乌迪内','4:1','3');
insert into lottery.europe_data values('williamHill','firstData','2.60','3.00','2.50','1601411');
insert into lottery.europe_data values('williamHill','lastData','2.45','3.25','2.70','1601411');
insert into lottery.europe_data values('Interwetten','firstData','2.65','3.10','2.65','1601411');
insert into lottery.europe_data values('Interwetten','lastData','2.65','3.10','2.65','1601411');
insert into lottery.match values('1601412','西甲','马竞技','塞维利','0:0','1');
insert into lottery.europe_data values('williamHill','firstData','1.60','3.40','5.00','1601412');
insert into lottery.europe_data values('williamHill','lastData','1.55','3.80','6.50','1601412');
insert into lottery.europe_data values('Interwetten','firstData','1.60','3.70','5.40','1601412');
insert into lottery.europe_data values('Interwetten','lastData','1.60','3.70','5.40','1601412');
insert into lottery.match values('1601413','西甲','贝蒂斯','皇马','1:1','1');
insert into lottery.europe_data values('williamHill','firstData','7.50','5.50','1.25','1601413');
insert into lottery.europe_data values('williamHill','lastData','7.00','5.50','1.36','1601413');
insert into lottery.europe_data values('Interwetten','firstData','10.00','5.20','1.27','1601413');
insert into lottery.europe_data values('Interwetten','lastData','9.00','5.00','1.30','1601413');
insert into lottery.match values('1601414','西甲','拉科鲁','巴伦西','1:1','1');
insert into lottery.europe_data values('williamHill','firstData','2.30','3.20','3.20','1601414');
insert into lottery.europe_data values('williamHill','lastData','2.25','3.10','3.30','1601414');
insert into lottery.europe_data values('Interwetten','firstData','2.40','3.30','2.75','1601414');
insert into lottery.europe_data values('Interwetten','lastData','2.30','3.30','2.90','1601414');
insert into lottery.match values('1601501','德甲','美因茨','门兴','1:0','3');
insert into lottery.europe_data values('williamHill','firstData','2.70','3.50','2.50','1601501');
insert into lottery.europe_data values('williamHill','lastData','2.30','3.60','2.88','1601501');
insert into lottery.europe_data values('Interwetten','firstData','2.65','3.30','2.50','1601501');
insert into lottery.europe_data values('Interwetten','lastData','2.60','3.20','2.60','1601501');
insert into lottery.match values('1601601','德甲','勒沃','汉诺威','3:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.29','5.50','10.00','1601601');
insert into lottery.europe_data values('williamHill','lastData','1.30','5.00','11.00','1601601');
insert into lottery.europe_data values('Interwetten','firstData','1.35','4.80','7.60','1601601');
insert into lottery.europe_data values('Interwetten','lastData','1.35','4.80','7.60','1601601');
insert into lottery.match values('1601602','德甲','多特','因戈尔','2:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.15','7.50','17.00','1601602');
insert into lottery.europe_data values('williamHill','lastData','1.29','5.00','11.00','1601602');
insert into lottery.europe_data values('Interwetten','firstData','1.22','5.50','12.00','1601602');
insert into lottery.europe_data values('Interwetten','lastData','1.22','5.50','12.00','1601602');
insert into lottery.match values('1601603','德甲','奥格斯','法兰克','0:0','1');
insert into lottery.europe_data values('williamHill','firstData','2.05','3.50','3.50','1601603');
insert into lottery.europe_data values('williamHill','lastData','2.00','3.50','3.60','1601603');
insert into lottery.europe_data values('Interwetten','firstData','2.10','3.30','3.30','1601603');
insert into lottery.europe_data values('Interwetten','lastData','2.10','3.30','3.30','1601603');
insert into lottery.match values('1601604','德甲','达姆施','沙尔克','0:2','0');
insert into lottery.europe_data values('williamHill','firstData','3.20','3.30','2.25','1601604');
insert into lottery.europe_data values('williamHill','lastData','2.75','3.40','2.25','1601604');
insert into lottery.europe_data values('Interwetten','firstData','2.90','3.30','2.30','1601604');
insert into lottery.europe_data values('Interwetten','lastData','2.90','3.30','2.30','1601604');
insert into lottery.match values('1601605','德甲','不来梅','赫塔','3:3','1');
insert into lottery.europe_data values('williamHill','firstData','2.60','3.40','2.62','1601605');
insert into lottery.europe_data values('williamHill','lastData','2.50','3.20','2.80','1601605');
insert into lottery.europe_data values('Interwetten','firstData','2.60','3.20','2.60','1601605');
insert into lottery.europe_data values('Interwetten','lastData','2.60','3.20','2.60','1601605');
insert into lottery.match values('1601606','德甲','斯图加','汉堡','2:1','3');
insert into lottery.europe_data values('williamHill','firstData','2.05','3.60','3.40','1601606');
insert into lottery.europe_data values('williamHill','lastData','1.95','3.25','4.20','1601606');
insert into lottery.europe_data values('Interwetten','firstData','2.10','3.30','3.30','1601606');
insert into lottery.europe_data values('Interwetten','lastData','2.10','3.30','3.30','1601606');
insert into lottery.match values('1601607','西甲','巴萨','马竞技','2:1','3');
insert into lottery.europe_data values('williamHill','firstData','1.55','4.00','6.00','1601607');
insert into lottery.europe_data values('williamHill','lastData','1.53','3.80','7.00','1601607');
insert into lottery.europe_data values('Interwetten','firstData','1.60','3.90','5.00','1601607');
insert into lottery.europe_data values('Interwetten','lastData','1.60','3.90','5.00','1601607');
insert into lottery.match values('1601608','西甲','赫塔费','毕尔巴','0:1','0');
insert into lottery.europe_data values('williamHill','firstData','3.50','3.25','2.15','1601608');
insert into lottery.europe_data values('williamHill','lastData','3.50','3.20','2.15','1601608');
insert into lottery.europe_data values('Interwetten','firstData','2.90','3.30','2.30','1601608');
insert into lottery.europe_data values('Interwetten','lastData','2.90','3.30','2.30','1601608');
insert into lottery.match values('1601609','西甲','埃瓦尔','马拉加','1:2','0');
insert into lottery.europe_data values('williamHill','firstData','2.60','3.00','2.90','1601609');
insert into lottery.europe_data values('williamHill','lastData','2.50','3.20','2.90','1601609');
insert into lottery.europe_data values('Interwetten','firstData','2.60','3.20','2.60','1601609');
insert into lottery.europe_data values('Interwetten','lastData','2.60','3.20','2.60','1601609');
insert into lottery.match values('1601610','西甲','比利亚','格拉纳','1:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.50','4.00','7.00','1601610');
insert into lottery.europe_data values('williamHill','lastData','1.50','4.00','7.00','1601610');
insert into lottery.europe_data values('Interwetten','firstData','1.40','4.50','7.20','1601610');
insert into lottery.europe_data values('Interwetten','lastData','1.45','4.00','7.00','1601610');
insert into lottery.match values('1601611','法甲','昂热','摩纳哥','3:0','3');
insert into lottery.europe_data values('williamHill','firstData','3.10','3.00','2.45','1601611');
insert into lottery.europe_data values('williamHill','lastData','3.10','3.00','2.45','1601611');
insert into lottery.europe_data values('Interwetten','firstData','3.10','3.10','2.30','1601611');
insert into lottery.europe_data values('Interwetten','lastData','3.10','3.10','2.30','1601611');
insert into lottery.match values('1601612','法甲','洛里昂','兰斯','2:0','3');
insert into lottery.europe_data values('williamHill','firstData','2.15','3.30','3.40','1601612');
insert into lottery.europe_data values('williamHill','lastData','2.10','3.00','3.40','1601612');
insert into lottery.europe_data values('Interwetten','firstData','2.00','3.20','3.75','1601612');
insert into lottery.europe_data values('Interwetten','lastData','2.00','3.20','3.75','1601612');
insert into lottery.match values('1601613','法甲','图卢兹','甘冈','1:2','0');
insert into lottery.europe_data values('williamHill','firstData','2.15','3.20','3.60','1601613');
insert into lottery.europe_data values('williamHill','lastData','2.05','3.25','3.80','1601613');
insert into lottery.europe_data values('Interwetten','firstData','2.00','3.20','3.75','1601613');
insert into lottery.europe_data values('Interwetten','lastData','2.10','3.15','3.45','1601613');
insert into lottery.match values('1601614','法甲','阿雅GF','蒙彼利','0:4','0');
insert into lottery.europe_data values('williamHill','firstData','2.62','3.10','2.80','1601614');
insert into lottery.europe_data values('williamHill','lastData','2.60','3.00','3.00','1601614');
insert into lottery.europe_data values('Interwetten','firstData','2.40','3.15','2.90','1601614');
insert into lottery.europe_data values('Interwetten','lastData','2.40','3.15','2.90','1601614');
insert into lottery.match values('1601701','德甲','沃尔夫','科隆','1:1','1');
insert into lottery.europe_data values('williamHill','firstData','1.67','3.80','5.00','1601701');
insert into lottery.europe_data values('williamHill','lastData','1.62','4.00','5.50','1601701');
insert into lottery.europe_data values('Interwetten','firstData','1.60','3.90','5.00','1601701');
insert into lottery.europe_data values('Interwetten','lastData','1.60','3.90','5.00','1601701');
insert into lottery.match values('1601702','德甲','拜仁','霍芬','2:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.10','9.50','21.00','1601702');
insert into lottery.europe_data values('williamHill','lastData','1.11','9.00','19.00','1601702');
insert into lottery.europe_data values('Interwetten','firstData','1.10','8.00','20.00','1601702');
insert into lottery.europe_data values('Interwetten','lastData','1.10','8.00','20.00','1601702');
insert into lottery.match values('1601703','意甲','AC米兰','国米','3:0','3');
insert into lottery.europe_data values('williamHill','firstData','2.45','3.25','2.90','1601703');
insert into lottery.europe_data values('williamHill','lastData','2.70','3.00','2.88','1601703');
insert into lottery.europe_data values('Interwetten','firstData','2.60','3.20','2.60','1601703');
insert into lottery.europe_data values('Interwetten','lastData','2.60','3.20','2.60','1601703');
insert into lottery.match values('1601704','意甲','都灵','维罗纳','0:0','1');
insert into lottery.europe_data values('williamHill','firstData','1.50','4.00','7.00','1601704');
insert into lottery.europe_data values('williamHill','lastData','1.70','3.50','5.50','1601704');
insert into lottery.europe_data values('Interwetten','firstData','1.50','4.00','6.10','1601704');
insert into lottery.europe_data values('Interwetten','lastData','1.50','4.00','6.10','1601704');
insert into lottery.match values('1601705','意甲','热那亚','佛罗伦','0:0','1');
insert into lottery.europe_data values('williamHill','firstData','2.88','3.30','2.45','1601705');
insert into lottery.europe_data values('williamHill','lastData','3.10','3.20','2.30','1601705');
insert into lottery.europe_data values('Interwetten','firstData','2.85','3.20','2.40','1601705');
insert into lottery.europe_data values('Interwetten','lastData','2.85','3.20','2.40','1601705');
insert into lottery.match values('1601706','意甲','那不勒','恩波利','5:1','3');
insert into lottery.europe_data values('williamHill','firstData','1.29','5.50','10.00','1601706');
insert into lottery.europe_data values('williamHill','lastData','1.30','4.50','11.00','1601706');
insert into lottery.europe_data values('Interwetten','firstData','1.30','5.00','9.00','1601706');
insert into lottery.europe_data values('Interwetten','lastData','1.30','5.00','9.00','1601706');
insert into lottery.match values('1601707','意甲','乌迪内','拉齐奥','0:0','1');
insert into lottery.europe_data values('williamHill','firstData','3.10','3.10','2.40','1601707');
insert into lottery.europe_data values('williamHill','lastData','3.10','3.10','2.30','1601707');
insert into lottery.europe_data values('Interwetten','firstData','2.85','3.20','2.40','1601707');
insert into lottery.europe_data values('Interwetten','lastData','2.85','3.20','2.40','1601707');
insert into lottery.match values('1601708','意甲','博洛尼','桑普多','3:2','3');
insert into lottery.europe_data values('williamHill','firstData','2.25','3.20','3.30','1601708');
insert into lottery.europe_data values('williamHill','lastData','2.20','3.20','3.40','1601708');
insert into lottery.europe_data values('Interwetten','firstData','2.30','3.10','3.10','1601708');
insert into lottery.europe_data values('Interwetten','lastData','2.20','3.20','3.20','1601708');
insert into lottery.match values('1601709','西甲','巴伦西','希洪','0:1','0');
insert into lottery.europe_data values('williamHill','firstData','1.70','3.75','4.80','1601709');
insert into lottery.europe_data values('williamHill','lastData','1.70','3.60','5.00','1601709');
insert into lottery.europe_data values('Interwetten','firstData','1.65','3.70','4.90','1601709');
insert into lottery.europe_data values('Interwetten','lastData','1.70','3.70','4.50','1601709');
insert into lottery.match values('1601710','西甲','皇马','西牙人','6:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.12','9.00','17.00','1601710');
insert into lottery.europe_data values('williamHill','lastData','1.11','8.00','26.00','1601710');
insert into lottery.europe_data values('Interwetten','firstData','1.10','8.00','20.00','1601710');
insert into lottery.europe_data values('Interwetten','lastData','1.10','8.00','20.00','1601710');
insert into lottery.match values('1601711','西甲','拉斯帕','塞尔塔','2:1','3');
insert into lottery.europe_data values('williamHill','firstData','2.50','3.20','2.88','1601711');
insert into lottery.europe_data values('williamHill','lastData','2.60','3.00','2.90','1601711');
insert into lottery.europe_data values('Interwetten','firstData','2.50','3.30','2.65','1601711');
insert into lottery.europe_data values('Interwetten','lastData','2.50','3.30','2.65','1601711');
insert into lottery.match values('1601712','法甲','卡昂','尼斯','2:0','3');
insert into lottery.europe_data values('williamHill','firstData','2.30','3.30','3.10','1601712');
insert into lottery.europe_data values('williamHill','lastData','2.50','3.00','3.10','1601712');
insert into lottery.europe_data values('Interwetten','firstData','2.50','3.10','2.80','1601712');
insert into lottery.europe_data values('Interwetten','lastData','2.50','3.10','2.80','1601712');
insert into lottery.match values('1601713','法甲','波尔多','雷恩','4:0','3');
insert into lottery.europe_data values('williamHill','firstData','2.20','3.20','3.40','1601713');
insert into lottery.europe_data values('williamHill','lastData','2.60','3.00','3.00','1601713');
insert into lottery.europe_data values('Interwetten','firstData','2.20','3.10','3.30','1601713');
insert into lottery.europe_data values('Interwetten','lastData','2.40','3.15','2.90','1601713');
insert into lottery.match values('1601714','法甲','埃蒂安','日尔曼','0:2','0');
insert into lottery.europe_data values('williamHill','firstData','5.00','3.80','1.67','1601714');
insert into lottery.europe_data values('williamHill','lastData','7.00','3.80','1.57','1601714');
insert into lottery.europe_data values('Interwetten','firstData','6.00','3.70','1.55','1601714');
insert into lottery.europe_data values('Interwetten','lastData','6.00','3.70','1.55','1601714');
insert into lottery.match values('1601801','英超','阿森纳','南安普','0:0','1');
insert into lottery.europe_data values('williamHill','firstData','1.80','3.50','4.60','1601801');
insert into lottery.europe_data values('williamHill','lastData','1.83','3.20','5.00','1601801');
insert into lottery.europe_data values('Interwetten','firstData','1.75','3.50','4.50','1601801');
insert into lottery.europe_data values('Interwetten','lastData','1.70','3.45','4.50','1601801');
insert into lottery.match values('1601802','英超','莱切城','利物浦','2:0','3');
insert into lottery.europe_data values('williamHill','firstData','2.60','3.20','2.75','1601802');
insert into lottery.europe_data values('williamHill','lastData','2.70','3.10','2.70','1601802');
insert into lottery.europe_data values('Interwetten','firstData','2.60','3.20','2.60','1601802');
insert into lottery.europe_data values('Interwetten','lastData','2.60','3.20','2.60','1601802');
insert into lottery.match values('1601803','英超','诺维奇','热刺','0:3','0');
insert into lottery.europe_data values('williamHill','firstData','4.33','3.50','1.85','1601803');
insert into lottery.europe_data values('williamHill','lastData','4.40','3.60','1.80','1601803');
insert into lottery.europe_data values('Interwetten','firstData','3.80','3.45','1.90','1601803');
insert into lottery.europe_data values('Interwetten','lastData','4.00','3.45','1.85','1601803');
insert into lottery.match values('1601804','英超','桑德兰','曼城','0:1','0');
insert into lottery.europe_data values('williamHill','firstData','6.50','4.20','1.50','1601804');
insert into lottery.europe_data values('williamHill','lastData','7.50','4.33','1.44','1601804');
insert into lottery.europe_data values('Interwetten','firstData','6.10','4.00','1.50','1601804');
insert into lottery.europe_data values('Interwetten','lastData','6.00','4.25','1.50','1601804');
insert into lottery.match values('1601805','英超','西汉姆','维拉','2:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.85','3.40','4.40','1601805');
insert into lottery.europe_data values('williamHill','lastData','1.83','3.50','4.50','1601805');
insert into lottery.europe_data values('Interwetten','firstData','1.90','3.45','3.80','1601805');
insert into lottery.europe_data values('Interwetten','lastData','1.90','3.30','4.35','1601805');
insert into lottery.match values('1601806','英超','水晶宫','伯恩茅','1:2','0');
insert into lottery.europe_data values('williamHill','firstData','2.25','3.25','3.25','1601806');
insert into lottery.europe_data values('williamHill','lastData','2.62','3.00','2.90','1601806');
insert into lottery.europe_data values('Interwetten','firstData','2.30','3.20','3.00','1601806');
insert into lottery.europe_data values('Interwetten','lastData','2.30','3.20','3.00','1601806');
insert into lottery.match values('1601807','英超','曼联','斯托克','3:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.75','3.50','5.00','1601807');
insert into lottery.europe_data values('williamHill','lastData','1.67','3.30','6.00','1601807');
insert into lottery.europe_data values('Interwetten','firstData','1.75','3.50','4.50','1601807');
insert into lottery.europe_data values('Interwetten','lastData','1.70','3.60','4.70','1601807');
insert into lottery.match values('1601808','英超','西布罗','斯旺西','1:1','1');
insert into lottery.europe_data values('williamHill','firstData','2.60','2.90','3.00','1601808');
insert into lottery.europe_data values('williamHill','lastData','2.62','3.00','2.90','1601808');
insert into lottery.europe_data values('Interwetten','firstData','2.50','3.05','2.85','1601808');
insert into lottery.europe_data values('Interwetten','lastData','2.50','3.05','2.85','1601808');
insert into lottery.match values('1601809','意甲','萨索洛','罗马','0:2','0');
insert into lottery.europe_data values('williamHill','firstData','3.00','3.25','2.38','1601809');
insert into lottery.europe_data values('williamHill','lastData','3.10','3.10','2.40','1601809');
insert into lottery.europe_data values('Interwetten','firstData','3.20','3.20','2.20','1601809');
insert into lottery.europe_data values('Interwetten','lastData','2.85','3.30','2.30','1601809');
insert into lottery.match values('1601810','法甲','摩纳哥','巴斯蒂','2:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.50','4.00','7.00','1601810');
insert into lottery.europe_data values('williamHill','lastData','1.44','4.00','8.50','1601810');
insert into lottery.europe_data values('Interwetten','firstData','1.50','3.90','6.30','1601810');
insert into lottery.europe_data values('Interwetten','lastData','1.50','3.90','6.30','1601810');
insert into lottery.match values('1601811','法甲','蒙彼利','马赛','0:1','0');
insert into lottery.europe_data values('williamHill','firstData','2.62','3.25','2.70','1601811');
insert into lottery.europe_data values('williamHill','lastData','2.50','3.20','2.90','1601811');
insert into lottery.europe_data values('Interwetten','firstData','2.80','3.10','2.50','1601811');
insert into lottery.europe_data values('Interwetten','lastData','2.60','3.20','2.60','1601811');
insert into lottery.match values('1601901','英超','埃弗顿','纽卡','3:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.67','4.00','4.80','1601901');
insert into lottery.europe_data values('williamHill','lastData','1.67','3.80','5.00','1601901');
insert into lottery.europe_data values('Interwetten','firstData','1.65','3.70','4.90','1601901');
insert into lottery.europe_data values('Interwetten','lastData','1.65','3.70','4.90','1601901');
insert into lottery.match values('1601902','英超','沃特福','切尔西','0:0','1');
insert into lottery.europe_data values('williamHill','firstData','4.20','3.25','1.95','1601902');
insert into lottery.europe_data values('williamHill','lastData','4.33','3.50','1.85','1601902');
insert into lottery.europe_data values('Interwetten','firstData','3.60','3.30','2.00','1601902');
insert into lottery.europe_data values('Interwetten','lastData','3.80','3.45','1.90','1601902');
insert into lottery.match values('1601903','意甲','弗洛西','博洛尼','1:0','3');
insert into lottery.europe_data values('williamHill','firstData','3.00','3.25','2.38','1601903');
insert into lottery.europe_data values('williamHill','lastData','2.80','3.30','2.50','1601903');
insert into lottery.europe_data values('Interwetten','firstData','2.90','3.30','2.30','1601903');
insert into lottery.europe_data values('Interwetten','lastData','2.90','3.30','2.30','1601903');
insert into lottery.match values('1601904','意甲','佛罗伦','卡皮','2:1','3');
insert into lottery.europe_data values('williamHill','firstData','1.44','4.33','7.50','1601904');
insert into lottery.europe_data values('williamHill','lastData','1.40','4.50','8.00','1601904');
insert into lottery.europe_data values('Interwetten','firstData','1.40','4.40','7.30','1601904');
insert into lottery.europe_data values('Interwetten','lastData','1.40','4.40','7.30','1601904');
insert into lottery.match values('1601905','意甲','恩波利','乌迪内','1:1','1');
insert into lottery.europe_data values('williamHill','firstData','2.10','3.25','3.60','1601905');
insert into lottery.europe_data values('williamHill','lastData','2.00','3.30','3.75','1601905');
insert into lottery.europe_data values('Interwetten','firstData','2.00','3.30','3.60','1601905');
insert into lottery.europe_data values('Interwetten','lastData','2.00','3.30','3.60','1601905');
insert into lottery.match values('1601906','意甲','维罗纳','亚特兰','2:1','3');
insert into lottery.europe_data values('williamHill','firstData','2.88','3.20','2.50','1601906');
insert into lottery.europe_data values('williamHill','lastData','2.30','3.20','3.20','1601906');
insert into lottery.europe_data values('Interwetten','firstData','2.65','3.30','2.50','1601906');
insert into lottery.europe_data values('Interwetten','lastData','2.40','3.30','2.75','1601906');
insert into lottery.match values('1601907','意甲','国米','切沃','1:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.60','3.75','6.00','1601907');
insert into lottery.europe_data values('williamHill','lastData','1.44','4.33','7.50','1601907');
insert into lottery.europe_data values('Interwetten','firstData','1.55','3.90','5.60','1601907');
insert into lottery.europe_data values('Interwetten','lastData','1.45','4.00','7.00','1601907');
insert into lottery.match values('1601908','意甲','尤文','热那亚','1:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.33','4.80','10.00','1601908');
insert into lottery.europe_data values('williamHill','lastData','1.30','5.50','9.00','1601908');
insert into lottery.europe_data values('Interwetten','firstData','1.30','5.00','9.00','1601908');
insert into lottery.europe_data values('Interwetten','lastData','1.25','5.50','10.30','1601908');
insert into lottery.match values('1601909','意甲','拉齐奥','那不勒','0:2','0');
insert into lottery.europe_data values('williamHill','firstData','3.60','3.40','2.05','1601909');
insert into lottery.europe_data values('williamHill','lastData','4.00','3.40','2.10','1601909');
insert into lottery.europe_data values('Interwetten','firstData','3.60','3.30','2.00','1601909');
insert into lottery.europe_data values('Interwetten','lastData','3.60','3.30','2.00','1601909');
insert into lottery.match values('1601910','意甲','桑普多','都灵','2:2','1');
insert into lottery.europe_data values('williamHill','firstData','2.75','3.20','2.62','1601910');
insert into lottery.europe_data values('williamHill','lastData','2.90','3.25','2.45','1601910');
insert into lottery.europe_data values('Interwetten','firstData','2.60','3.20','2.60','1601910');
insert into lottery.europe_data values('Interwetten','lastData','2.60','3.20','2.60','1601910');
insert into lottery.match values('1601911','意甲','巴勒莫','AC米兰','0:2','0');
insert into lottery.europe_data values('williamHill','firstData','3.60','3.30','2.10','1601911');
insert into lottery.europe_data values('williamHill','lastData','4.00','3.40','1.95','1601911');
insert into lottery.europe_data values('Interwetten','firstData','3.30','3.30','2.10','1601911');
insert into lottery.europe_data values('Interwetten','lastData','3.60','3.30','2.00','1601911');
insert into lottery.match values('1601912','法甲','里昂','波尔多','3:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.67','3.60','5.50','1601912');
insert into lottery.europe_data values('williamHill','lastData','1.70','3.40','5.50','1601912');
insert into lottery.europe_data values('Interwetten','firstData','1.75','3.40','4.65','1601912');
insert into lottery.europe_data values('Interwetten','lastData','1.75','3.40','4.65','1601912');
insert into lottery.match values('1601913','法甲','里尔','卡昂','1:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.80','3.30','5.00','1601913');
insert into lottery.europe_data values('williamHill','lastData','1.80','3.40','4.80','1601913');
insert into lottery.europe_data values('Interwetten','firstData','1.90','3.35','3.90','1601913');
insert into lottery.europe_data values('Interwetten','lastData','1.65','3.45','4.10','1601913');
insert into lottery.match values('1601914','法甲','日尔曼','洛里昂','3:1','3');
insert into lottery.europe_data values('williamHill','firstData','1.20','6.50','13.00','1601914');
insert into lottery.europe_data values('williamHill','lastData','1.18','7.00','15.00','1601914');
insert into lottery.europe_data values('Interwetten','firstData','1.17','6.50','14.00','1601914');
insert into lottery.europe_data values('Interwetten','lastData','1.17','6.50','14.00','1601914');
insert into lottery.match values('1602001','德甲','门兴','不来梅','5:1','3');
insert into lottery.europe_data values('williamHill','firstData','1.73','4.00','4.33','1602001');
insert into lottery.europe_data values('williamHill','lastData','1.73','4.00','4.33','1602001');
insert into lottery.europe_data values('Interwetten','firstData','1.80','3.50','4.20','1602001');
insert into lottery.europe_data values('Interwetten','lastData','1.80','3.50','4.20','1602001');
insert into lottery.match values('1602002','西甲','马拉加','赫塔费','3:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.75','3.50','5.00','1602002');
insert into lottery.europe_data values('williamHill','lastData','1.62','3.60','6.00','1602002');
insert into lottery.europe_data values('Interwetten','firstData','1.70','3.60','4.70','1602002');
insert into lottery.europe_data values('Interwetten','lastData','1.70','3.60','4.70','1602002');
insert into lottery.match values('1602101','英超','维拉','诺维奇','2:0','3');
insert into lottery.europe_data values('williamHill','firstData','2.30','3.20','3.20','1602101');
insert into lottery.europe_data values('williamHill','lastData','2.40','3.10','3.10','1602101');
insert into lottery.europe_data values('Interwetten','firstData','2.40','3.20','2.85','1602101');
insert into lottery.europe_data values('Interwetten','lastData','2.40','3.20','2.85','1602101');
insert into lottery.match values('1602102','英超','利物浦','桑德兰','2:2','1');
insert into lottery.europe_data values('williamHill','firstData','1.35','4.75','9.00','1602102');
insert into lottery.europe_data values('williamHill','lastData','1.44','4.20','8.00','1602102');
insert into lottery.europe_data values('Interwetten','firstData','1.37','4.60','7.50','1602102');
insert into lottery.europe_data values('Interwetten','lastData','1.45','4.00','7.00','1602102');
insert into lottery.match values('1602103','英超','纽卡','西布罗','1:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.95','3.25','4.20','1602103');
insert into lottery.europe_data values('williamHill','lastData','2.20','3.30','3.30','1602103');
insert into lottery.europe_data values('Interwetten','firstData','2.05','3.30','3.50','1602103');
insert into lottery.europe_data values('Interwetten','lastData','2.10','3.30','3.30','1602103');
insert into lottery.match values('1602104','英超','斯托克','埃弗顿','0:3','0');
insert into lottery.europe_data values('williamHill','firstData','2.50','3.30','2.80','1602104');
insert into lottery.europe_data values('williamHill','lastData','2.70','3.10','2.70','1602104');
insert into lottery.europe_data values('Interwetten','firstData','2.55','3.30','2.60','1602104');
insert into lottery.europe_data values('Interwetten','lastData','2.55','3.30','2.60','1602104');
insert into lottery.match values('1602105','英超','斯旺西','水晶宫','1:1','1');
insert into lottery.europe_data values('williamHill','firstData','2.25','3.20','3.30','1602105');
insert into lottery.europe_data values('williamHill','lastData','2.20','3.10','3.60','1602105');
insert into lottery.europe_data values('Interwetten','firstData','2.10','3.30','3.30','1602105');
insert into lottery.europe_data values('Interwetten','lastData','2.10','3.30','3.30','1602105');
insert into lottery.match values('1602106','英超','热刺','沃特福','1:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.50','4.00','7.00','1602106');
insert into lottery.europe_data values('williamHill','lastData','1.50','4.00','7.00','1602106');
insert into lottery.europe_data values('Interwetten','firstData','1.47','4.00','6.60','1602106');
insert into lottery.europe_data values('Interwetten','lastData','1.50','4.00','6.10','1602106');
insert into lottery.match values('1602107','德甲','法兰克','斯图加','2:4','0');
insert into lottery.europe_data values('williamHill','firstData','2.50','3.60','2.60','1602107');
insert into lottery.europe_data values('williamHill','lastData','2.70','3.20','2.62','1602107');
insert into lottery.europe_data values('Interwetten','firstData','2.60','3.20','2.60','1602107');
insert into lottery.europe_data values('Interwetten','lastData','2.60','3.20','2.60','1602107');
insert into lottery.match values('1602108','德甲','因戈尔','奥格斯','2:1','3');
insert into lottery.europe_data values('williamHill','firstData','2.45','3.00','3.10','1602108');
insert into lottery.europe_data values('williamHill','lastData','2.50','3.00','3.10','1602108');
insert into lottery.europe_data values('Interwetten','firstData','2.40','3.30','2.75','1602108');
insert into lottery.europe_data values('Interwetten','lastData','2.40','3.30','2.75','1602108');
